19866;21060;22021;31097;50575
24796;26898;27373;42934;66638
24936;27181;27565;45133;69764
34152;38608;45261;63139;118711
36307;34910;53075;54400;124911
58181;51200;62222;65948;113710
51622;48422;55140;64975;107484
30773;29562;18475;40193;39125
20742;22429;11564;30371;25063
32080;32302;13397;43842;26528
21702;25858;24986;39715;63895
37562;46868;53902;75807;145124
37015;45636;52233;73887;139640
37838;46229;54679;74942;143491
38003;51900;57964;82571;161074
30791;50041;40326;75813;113944
32057;31750;41851;54346;116597
30791;30534;38812;53117;111186
27846;28594;34334;48473;91696
24071;24670;27809;38702;66501
21558;22199;23909;33036;51034
27310;28007;26766;44933;63847
28098;28081;23945;40708;48954
50529;51346;47233;82703;129822
33625;33301;33259;49568;77521
37202;35361;32901;46320;60289
46647;47111;36610;64344;69017
25589;22049;17632;27729;26192
20524;16382;11376;24788;17537
18665;16933;8201;26636;14346
21442;20987;7643;33465;15249
42514;33925;24151;41978;38909
47264;42777;11598;62478;22483
42112;40513;8121;60839;16594
14903;16412;11039;20083;18046
25096;25024;14015;31088;24815
48389;48897;11822;74088;28733
52314;90364;55769;140883;189694
57762;102216;42447;159022;139497
36726;45164;25128;72096;66358
25183;25697;16269;36790;32951
16315;17396;10862;21024;17512
25327;26244;13798;35355;25366
16252;17495;10951;22371;18536
33139;26789;25033;34008;40200
16618;17935;10716;23300;18364
19862;20707;12184;28020;21915
25925;27034;14153;36668;25187
17189;18009;12219;21159;19486
28477;28765;21216;35054;40310
35293;36541;26793;41698;46752
30914;32781;12961;46248;24856
30668;30149;11377;40422;20142
28816;27806;12165;36905;20330
30349;29658;12488;40454;21373
43850;41038;19546;56344;31622
39144;34188;28878;43640;44283
43445;41073;30257;59062;51606
59817;57583;37755;86796;84957
45172;44780;25432;62968;55549
47219;47230;22940;60987;41670
22713;24992;13454;33724;22791
37079;34881;21159;44981;36495
33268;33380;18837;41072;32513
28203;28672;15662;37255;28182
31796;32154;17390;42385;32092
36656;36555;21224;46686;38513
34406;34309;19511;43453;35412
43998;40471;26841;49883;46183
38882;38948;21243;49306;38183
49510;47692;20828;65337;39389
28485;29946;15607;36896;26967
17953;22793;16690;28216;35058
19369;24421;17033;29742;35808
39647;39958;22655;47876;42777
54298;56833;29267;72219;59936
37088;39350;21568;48197;41836
29370;27664;19876;31384;32089
26799;25363;18468;31789;31004
39819;40094;24374;50640;46836
33155;35754;15112;51166;32511
42104;44529;24702;55494;49679
20923;21687;8970;30235;16347
41502;42516;21225;54120;42935
17302;20263;5436;28938;9448
16651;17915;4865;27598;9812
21155;22036;5945;34861;11374
64166;64046;28112;77298;56664
33354;34697;18071;46682;33782
52866;53441;25672;64993;50027
63416;63934;30168;75425;60216
55530;56197;25557;67594;50303
66527;60167;25172;81049;50331
40000;38781;19302;54787;40390
15955;16355;11368;19256;17711
55768;52490;24808;77899;55476
32651;36044;13883;61748;35020
48136;48371;13300;73422;33526
20343;21220;6869;33000;13270
37244;36162;13943;50168;28168
22616;23818;14250;30626;27430
19501;20951;9374;27788;17704
43553;42974;21309;56605;43592
49910;48098;17105;63990;35107
84358;78767;28633;100047;57175
81909;94635;30996;136535;72822
33969;36914;12669;45958;25421
28272;30496;12004;41546;25907
39862;40930;18857;53929;37908
17362;18721;9274;25762;16460
15910;16065;11290;19118;17893
40067;31507;34418;35779;51974
56385;52535;24132;71266;42374
28090;29708;10476;42875;19829
26095;28089;22133;32542;36100
27657;29573;14282;41548;26916
21181;23880;9156;34157;17919
16093;18813;8271;27294;16143
15309;17636;7973;25006;15155
24441;26623;8493;37907;16468
70985;52070;62489;68201;114048
66849;60478;34322;82284;65562
50217;47547;24002;66343;47089
61912;58867;26827;77889;50280
28644;27594;12029;37913;20693
48356;46511;13914;71004;26522
34667;35725;22047;46740;40398
28588;29435;11438;38772;22015
37167;38837;17148;60234;34656
35602;35263;25341;49861;44874
29569;32732;8176;47197;16775
24009;28131;9980;38616;20601
28488;29823;14459;40825;28028
21299;23835;12701;33823;23757
73562;65024;48081;81442;80152
87910;80324;55869;98518;94602
43498;37203;34565;46431;56733
37565;39382;10746;57574;16962
51988;49950;39060;66566;68806
40406;40347;25892;50327;46091
19420;23852;5780;43607;20575
23378;25298;15166;37829;28696
20574;19515;19422;23400;30384
25625;25213;22763;29532;36564
21545;21100;19989;24955;31596
40079;39180;14682;56453;29421
60208;59823;15895;84269;33088
26588;28459;11412;38465;22828
26546;30724;7734;45516;16768
32674;27834;31319;43255;45307
54022;40312;59340;53656;93893
54249;43109;56250;53021;87410
49167;41982;37546;47377;58340
55193;53609;27236;64984;48897
33897;37738;17128;49007;34647
62404;63328;32150;81672;61519
54767;55622;20615;85468;43609
36396;39821;14608;64168;31803
47517;51644;22684;71823;46317
64573;62771;18375;99236;41967
31112;34067;9006;43968;14557
59474;57760;26766;75757;53903
53671;56656;25382;81767;57439
58082;61938;23655;89257;52047
49216;47205;18134;65116;36577
44733;41415;19971;52858;36059
31204;34866;10809;50541;22812
30212;32084;6956;45666;14575
16284;17543;4567;20554;8817
33369;32949;26166;40221;45360
40677;45400;35404;73251;87631
60047;74179;47151;124522;132655
58271;75231;39230;123764;108981
44842;60282;35561;106635;110552
60627;77380;45733;131547;133757
48900;57980;37218;85433;80807
47833;54760;27388;83667;60768
45921;46319;40173;69934;91139
76768;94188;54477;143239;132854
64347;76407;43148;109533;95863
32269;26935;26346;33043;42649
52082;50713;49640;76298;114932
56553;58617;55730;93541;137439
44694;44435;47583;69633;116899
37399;37219;26181;50625;49239
37245;29991;30049;36842;46832
29808;19652;26221;21725;35874
29276;27402;21752;32936;35574
35988;33841;21631;41374;36457
32987;34688;15052;44522;27519
20603;22639;9419;28682;18186
20415;22030;8873;28677;17535
15871;17850;7950;21952;15683
21323;23495;9957;30018;20077
36214;36005;13042;43437;25168
40431;29019;27586;33367;40288
22977;18442;15677;22867;25013
25902;25420;9805;33026;20208
48270;40908;21789;50461;37585
17743;17059;9331;25154;19881
28710;26046;10887;36922;21841
56663;40662;28934;55743;41428
51178;29877;35865;36670;48036
34512;26121;16562;39720;27930
56549;52913;20338;69989;39685
40111;40294;18396;46958;34847
23171;28148;6821;40009;14839
37899;39980;14571;53372;28758
43768;39090;17904;45259;32070
161981;132372;73845;150582;128331
146739;124896;151549;163700;296670
55574;52698;46666;74277;94896
72849;73973;93230;119080;202789
21394;26517;6443;44250;13521
92134;92985;62547;126911;121599
158108;167261;143453;219217;272876
35636;35659;12964;54292;26309
77027;71834;33027;86847;62066
39771;39016;16008;51675;33810
23373;19563;13190;24190;20369
144380;124941;82810;160620;150765
86124;85213;15305;109135;35371
35976;34126;15537;41102;28287
32552;30628;14673;36499;26560
43362;42090;18585;50627;34764
58689;58672;19098;80115;38352
20545;20218;8080;23725;13489
41337;39852;15468;54253;31255
31415;32263;10431;48257;23196
10039;14277;4313;23925;7497
32149;40185;48141;63733;103924
41651;47870;64701;76298;148676
50914;75944;39729;128746;120479
38378;59877;28090;107547;93730
23908;34035;15703;56786;44326
17602;19855;6637;24896;12679
42858;42441;16856;52751;32581
32971;33477;13626;39368;25379
27691;34085;10294;54820;25362
18473;20959;7315;29128;14819
10263;10830;7818;16011;14707
14670;16938;10929;21131;18999
24801;28039;11638;35793;23994
18570;18230;7648;24226;14378
27645;18898;14865;25267;19657
25795;13037;14996;16853;16970
16603;10292;11512;14875;14309
