3344;2554;3294;2933;3260
3340;2595;3315;2963;3358
5000;3005;4415;3355;4490
18338;21463;12659;28477;23444
54129;75397;30790;122208;79712
70278;86180;31170;133590;70477
57027;82040;38151;126384;86819
35892;55232;17016;91966;40297
19164;26873;10763;46679;26131
15901;18950;16125;32590;38581
14390;18945;14215;34032;37214
25841;28041;17854;42302;39634
29008;30380;17626;42722;35300
32155;33973;20810;46049;40793
36990;38677;25116;54220;51721
35599;37563;22462;52234;45466
28974;29852;16848;43040;34491
25518;25411;14670;33585;26400
33828;35545;21312;48422;43063
58399;68095;52542;93438;102198
29016;36662;25979;48092;50716
22120;25952;19407;36018;38849
63042;78618;47127;110937;97177
71971;90425;45028;136576;99165
63177;80184;36496;120397;82424
53820;68317;18167;102321;41629
42125;52857;22849;79488;49114
38069;46129;15477;70371;33007
43279;46971;14614;73783;31711
25244;31235;9045;46406;18669
17974;23345;8398;32421;16227
9094;11802;5068;16364;8132
3298;3440;3868;3921;4507
3087;3138;3737;3749;4295
12162;13974;12059;23463;27218
11592;14179;11335;23311;25803
31039;32660;27980;48002;54673
33087;36852;27751;58794;61818
39245;42480;28538;69349;67229
19025;24569;11021;45259;32003
18736;21540;10115;33383;22615
19202;25415;10744;44671;25595
33393;42782;14951;68119;33953
31761;38643;22959;63663;53981
28960;38299;26973;62930;64278
14824;18047;7700;30534;18402
19717;21890;10172;34163;20961
13921;20387;13244;35823;36851
22714;26247;14821;36740;30988
21263;25453;13245;35208;27605
14840;20020;12737;33535;33335
13923;19379;12510;34414;34533
26483;35914;25921;58709;62513
25023;35099;26806;53931;62621
20935;32360;22945;53250;56943
19110;28756;18092;48782;47101
23746;35971;19242;62035;51428
20679;25542;14537;41253;35170
13175;16140;7336;26159;15206
28879;34603;17024;49514;36999
33114;43736;18137;73562;47396
42170;54634;17061;90731;44034
29663;40085;11095;71409;30607
25451;34962;11870;60700;31895
24614;34287;11293;56263;28260
13920;20333;8388;31788;18671
13849;17430;8587;25621;16705
9023;11134;7129;17435;13204
8922;10871;6904;16505;12197
18299;21597;9390;35614;19052
16173;20449;8541;34853;19738
21645;28375;8627;46426;19865
21936;25272;9425;40278;20517
17306;19973;8997;31624;18652
22056;25517;10735;41835;23248
21010;27441;15481;47364;39950
18245;29104;21049;56458;64318
15384;24904;18015;46807;54739
